Time of Rating,03-May-2016 11:06:04
Multimedia File,all_vocal_2 (1).m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,38.9374
2,40.1929
3,40.1929
4,41.8313
5,44.7622
6,47.8793
7,47.9607
8,48.4084
9,49.8086
10,48.4346
11,47.5884
12,48.13
13,50.3139
14,50.4823
15,50.4823
16,50.4823
17,51.0408
18,51.2326
19,51.1254
20,51.2479
21,52.8854
22,51.7203
23,52.381
24,52.4116
25,52.4116
26,52.4116
27,52.6872
28,52.7331
29,52.7331
30,52.7331
31,52.4116
32,52.1206
33,54.0193
34,54.7236
35,55.1447
36,54.6962
37,52.5953
38,52.4116
39,52.4116
40,52.4116
41,52.283
42,51.5485
43,51.447
44,51.447
45,51.447
46,51.5848
47,52.09
