Time of Rating,02-May-2016 15:52:50
Multimedia File,module2 (1).m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0.75563
2,0
3,0
4,0
5,0
6,0
7,0
8,0.38586
9,7.926
10,9.0032
11,7.1078
12,3.5523
13,12.508
14,15.9164
15,28.0707
16,32.9903
17,40.627
18,53.5624
19,85.589
20,96.6999
21,86.9521
22,81.672
23,78.4566
24,91.5786
25,100
26,100
27,95.1608
28,76.5595
29,62.508
30,59.2655
31,59.363
32,68.7138
33,71.7203
34,67.8135
35,65.2902
36,65.2733
37,65.2733
38,65.2733
39,65.2733
40,65.2733
41,68.0141
42,74.4796
43,75.134
44,79.8071
45,76.8006
46,77.3151
47,73.0242
48,69.6065
49,59.1301
50,54.2337
51,54.0193
52,53.1833
53,48.119
54,50.5331
55,47.9865
56,48.135
57,50.0161
58,51.1254
59,51.1254
60,51.1254
61,48.9254
62,47.2669
63,48.4566
64,49.8392
65,49.8392
66,49.4855
67,49.1961
68,45.8199
69,42.0257
70,38.3483
71,32.3381
72,17.6206
73,20.4603
74,25.7235
75,25.7235
76,25.7235
77,25.7235
78,25.5091
79,25.0804
80,25.0804
81,25.0804
82,25.0804
83,25.0804
84,25.0804
85,25.0804
86,25.0804
87,25.0804
88,25.0804
89,25.0804
90,25.0804
91,25.0804
92,33.135
93,55.5466
94,72.8719
95,74.7359
96,74.0565
97,83.8922
98,88.2315
99,83.344
100,65.627
101,63.135
102,80.9164
103,90.5466
104,97.0418
105,87.492
106,78.6597
107,63.2675
108,50.5839
109,46.6697
110,46.3022
111,40.836
112,37.9421
113,39.0421
114,48.4765
115,49.1961
116,47.8457
117,40.9883
118,29.164
119,13.5814
120,-9.3586
121,-1.1024
122,25.0161
123,59.3569
124,66.7042
125,73.6504
126,74.8278
127,74.9196
128,74.9196
129,74.9196
130,74.9196
131,74.9196
132,74.9196
133,74.9196
134,74.9196
135,74.9196
